date,portfolio_value,cash,shares_held,trade_type,trade_shares,trade_price
2023-12-11,99900.10045322105,0.5536742717085872,92429,Buy,92429,1.0808247063037504
2023-12-12,100764.31249901965,0.5536742717085872,92429,Buy,0,1.0901747159954986
2023-12-13,102600.01754708722,0.5536742717085872,92429,Buy,0,1.110035420407183
2023-12-14,102684.75187865243,0.5536742717085872,92429,Buy,0,1.110952170902863
2023-12-15,102379.72564861026,0.5536742717085872,92429,Buy,0,1.1076520569771235
2023-12-18,101430.80531663528,0.5536742717085872,92429,Buy,0,1.0973855785777578
2023-12-19,102023.89354681401,0.5536742717085872,92429,Buy,0,1.1038022684713922
2023-12-20,100832.09128247554,0.5536742717085872,92429,Buy,0,1.0909080224626884
2023-12-21,100747.35695091035,0.5536742717085872,92429,Buy,0,1.0899912719670086
2023-12-22,100137.33921801107,0.5536742717085872,92429,Buy,0,1.083391419832946
2023-12-26,99826.68718398793,0.5536742717085872,92429,Buy,0,1.080030439685772
2023-12-27,99883.16226870428,0.5536742717085872,92429,Buy,0,1.0806414501339685
2023-12-28,100126.05288286405,0.5536742717085872,92429,Buy,0,1.0832693116726606
2023-12-29,99532.95597088902,0.5536742717085872,92429,Buy,0,1.0768525278496717
2024-01-02,95641.25397627689,0.5536742717085872,92429,Buy,0,1.0347477555962434
2024-01-03,94856.14177626623,0.5536742717085872,92429,Buy,0,1.0262535362493863
2024-01-04,93534.43379438577,0.5536742717085872,92429,Buy,0,1.0119538253157998
2024-01-05,93122.08319889184,0.5536742717085872,92429,Buy,0,1.0074925567151016
2024-01-08,95596.07390850381,0.5536742717085872,92429,Buy,0,1.0342589472376862
2024-01-09,95358.84382551008,0.5536742717085872,92429,Buy,0,1.031692327637845
2024-01-10,95951.92337389258,0.5536742717085872,92429,Buy,0,1.0381089236021257
2024-01-11,95613.02077481682,0.5536742717085872,92429,Buy,0,1.034442297336822
2024-01-12,95799.41025887146,0.5536742717085872,92429,Buy,0,1.0364588666392556
2024-01-16,94505.94416024727,0.5536742717085872,92429,Buy,0,1.022464707894444
2024-01-17,93969.33969658116,0.5536742717085872,92429,Buy,0,1.01665912237836
2024-01-18,97330.11512228569,0.5536742717085872,92429,Buy,0,1.053019738913263
2024-01-19,98985.08253566839,0.5536742717085872,92429,Buy,0,1.0709250220320103
2024-01-22,100301.1299863829,0.5536742717085872,92429,Buy,0,1.085163491026747
2024-01-23,101029.78446526968,0.5536742717085872,92429,Buy,0,1.093046887784115
2024-01-24,100645.69311662465,0.5536742717085872,92429,Buy,0,1.0888913592309009
2024-01-25,100459.29495077374,0.5536742717085872,92429,Buy,0,1.0868746959991131
2024-01-26,99470.84640039546,0.5536742717085872,92429,Buy,0,1.076180557250687
2024-01-29,99081.09452058435,0.5536742717085872,92429,Buy,0,1.0719637867586216
2024-01-30,96996.8556907835,0.5536742717085872,92429,Buy,0,1.0494141667281025
2024-01-31,94940.8674260352,0.5536742717085872,92429,Buy,0,1.0271701928157124
2024-02-01,96330.36287316786,0.5536742717085872,92429,Buy,0,1.0422033041458434
2024-02-02,95759.8733586719,0.5536742717085872,92429,Buy,0,1.0360311123608412
2024-02-05,96793.51065861958,0.5536742717085872,92429,Buy,0,1.047214153397179
2024-02-06,97708.56330335727,0.5536742717085872,92429,Buy,0,1.057114213386335
2024-02-07,97770.69023744337,0.5536742717085872,92429,Buy,0,1.057786371844028
2024-02-08,97155.01197337806,0.5536742717085872,92429,Buy,0,1.0511252777711146
2024-02-09,97590.49955592332,0.5536742717085872,92429,Buy,0,1.0558368681003971
2024-02-12,96629.05139193518,0.5536742717085872,92429,Buy,0,1.045434849643115
2024-02-13,95435.71244965743,0.5536742717085872,92429,Buy,0,1.0325239781387412
2024-02-14,94932.38531108241,0.5536742717085872,92429,Buy,0,1.0270784238367905
2024-02-15,94768.36881600763,0.5536742717085872,92429,Buy,0,1.0253039104797836
2024-02-16,93891.7591651399,0.5536742717085872,92429,Buy,0,1.01581976967043
2024-02-20,93467.59264492667,0.5536742717085872,92429,Buy,0,1.0112306632188486
2024-02-21,93897.41969630594,0.5536742717085872,92429,Buy,0,1.015881011609281
2024-02-22,95056.81281517996,0.5536742717085872,92429,Buy,0,1.0284246193392577
2024-02-23,94010.54350166394,0.5536742717085872,92429,Buy,0,1.0171049110927548
2024-02-26,93241.37107959941,0.5536742717085872,92429,Buy,0,1.0087831460399626
2024-02-27,94072.7485719165,0.5536742717085872,92429,Buy,0,1.0177779149146349
2024-02-28,93388.4233447686,0.5536742717085872,92429,Buy,0,1.010374121439125
2024-02-29,93009.49766490236,0.5536742717085872,92429,Buy,0,1.0062744808515796
2024-03-01,92393.05540276555,0.5536742717085872,92429,Buy,0,0.9996051209955084
2024-03-04,89814.12782167525,0.5536742717085872,92429,Buy,0,0.9717034063703334
2024-03-05,86997.64893112934,0.5536742717085872,92429,Buy,0,0.9412315967592166
2024-03-06,86432.09067691298,0.5536742717085872,92429,Buy,0,0.9351127568473236
2024-03-07,86364.22507549443,0.5536742717085872,92429,Buy,0,0.9343785110865932
2024-03-08,87342.63746938815,0.5536742717085872,92429,Buy,0,0.9449640675017196
2024-03-11,88485.05767656039,0.5536742717085872,92429,Buy,0,0.9573240433444988
2024-03-12,88756.52876403088,0.5536742717085872,92429,Buy,0,0.9602611203167748
2024-03-13,87568.876398308,0.5536742717085872,92429,Buy,0,0.9474117725393144
2024-03-14,88626.44941056357,0.5536742717085872,92429,Buy,0,0.9588537768048108
2024-03-15,88411.5315439758,0.5536742717085872,92429,Buy,0,0.9565285556449176
2024-03-18,89033.65170087117,0.5536742717085872,92429,Buy,0,0.9632593452985476
2024-03-19,90368.35633176325,0.5536742717085872,92429,Buy,0,0.9776996684751706
2024-03-20,91833.1403161227,0.5536742717085872,92429,Buy,0,0.993547335163758
2024-03-21,87704.59023755256,0.5536742717085872,92429,Buy,0,0.948880076202067
2024-03-22,88219.2558020522,0.5536742717085872,92429,Buy,0,0.9544483022404276
2024-03-25,87410.511752603,0.5536742717085872,92429,Buy,0,0.9456984071918044
2024-03-26,86765.78419822855,0.5536742717085872,92429,Buy,0,0.9387230255001876
2024-03-27,88801.76960437784,0.5536742717085872,92429,Buy,0,0.9607505861808106
2024-03-28,87766.80398960137,0.5536742717085872,92429,Buy,0,0.949553173953301
2024-04-01,86946.7562414126,0.5536742717085872,92429,Buy,0,0.940680982885684
2024-04-02,86273.73471300426,0.5536742717085872,92429,Buy,0,0.9333994854291678
2024-04-03,86731.83837482486,0.5536742717085872,92429,Buy,0,0.9383557617257912
2024-04-04,86262.439696061,0.5536742717085872,92429,Buy,0,0.9332772833395286
2024-04-05,86692.25806564397,0.5536742717085872,92429,Buy,0,0.9379275378006064
2024-04-08,86053.17367884301,0.5536742717085872,92429,Buy,0,0.9310132101891322
2024-04-09,86743.15943715695,0.5536742717085872,92429,Buy,0,0.9384782456034928
2024-04-10,85674.25668077305,0.5536742717085872,92429,Buy,0,0.926913663530941
2024-04-11,89780.17331647531,0.5536742717085872,92429,Buy,0,0.971336048666583
2024-04-12,90634.16688806773,0.5536742717085872,92429,Buy,0,0.980575503508596
2024-04-15,88451.12921674922,0.5536742717085872,92429,Buy,0,0.9569569674288104
2024-04-16,86579.16030567473,0.5536742717085872,92429,Buy,0,0.9367039201051944
2024-04-17,85798.68418487062,0.5536742717085872,92429,Buy,0,0.9282598590334086
2024-04-18,85255.74200992961,0.5536742717085872,92429,Buy,0,0.9223857050888564
2024-04-19,84102.00942222158,0.5536742717085872,92429,Buy,0,0.9099033392977298
2024-04-22,84577.07731394778,0.5536742717085872,92429,Buy,0,0.9150431535521976
2024-04-23,85176.5727097715,0.5536742717085872,92429,Buy,0,0.9215291633091324
2024-04-24,86375.55481962278,0.5536742717085872,92429,Buy,0,0.9345010888936488
2024-04-25,86867.57825945826,0.5536742717085872,92429,Buy,0,0.9398243471766063
2024-04-26,86533.90210173524,0.5536742717085872,92429,Buy,0,0.9362142663824506
2024-04-29,88909.23287856985,0.5536742717085872,92429,Buy,0,0.961913243725434
2024-04-30,87116.41590406088,0.5536742717085872,92429,Buy,0,0.9425165503228334
2024-05-01,86533.90210173524,0.5536742717085872,92429,Buy,0,0.9362142663824506
2024-05-02,88643.41364046912,0.5536742717085872,92429,Buy,0,0.9590373147626547
2024-05-03,94496.91509212968,0.5536742717085872,92429,Buy,0,1.022367021366216
2024-05-06,93552.43115804705,0.5536742717085872,92429,Buy,0,1.0121485408667772
2024-05-07,93942.66053665285,0.5536742717085872,92429,Buy,0,1.0163704774733162
2024-05-08,94134.95364216901,0.5536742717085872,92429,Buy,0,1.0184509187365145
2024-05-09,95169.9192569455,0.5536742717085872,92429,Buy,0,1.0296483309640243
2024-05-10,94450.70189060083,0.5536742717085872,92429,Buy,0,1.021867035414525
2024-05-13,96279.90427326449,0.5536742717085872,92429,Buy,0,1.0416573867400143
2024-05-14,96931.16922022794,0.5536742717085872,92429,Buy,0,1.0487034972352425
2024-05-15,98228.06462837754,0.5536742717085872,92429,Buy,0,1.0627347580749098
2024-05-16,98296.0170477588,0.5536742717085872,92429,Buy,0,1.0634699431291812
2024-05-17,98312.99864125688,0.5536742717085872,92429,Buy,0,1.0636536689457332
2024-05-20,98975.60201414491,0.5536742717085872,92429,Buy,0,1.0708224511773707
2024-05-21,99717.48755054253,0.5536742717085872,92429,Buy,0,1.0788489962703354
2024-05-22,98896.31116883912,0.5536742717085872,92429,Buy,0,1.0699645943866904
2024-05-23,96619.70109735569,0.5536742717085872,92429,Buy,0,1.0453336877287862
2024-05-24,98375.29921126839,0.5536742717085872,92429,Buy,0,1.064327705990508
2024-05-28,98380.95974243442,0.5536742717085872,92429,Buy,0,1.064388947929359
2024-05-29,98550.85381358184,0.5536742717085872,92429,Buy,0,1.0662270514590673
2024-05-30,99117.18474766599,0.5536742717085872,92429,Buy,0,1.0723542510834725
2024-05-31,99660.8561934934,0.5536742717085872,92429,Buy,0,1.0782362950937658
2024-06-03,100668.90823984239,0.5536742717085872,92429,Buy,0,1.089142526323672
2024-06-04,100850.1320551182,0.5536742717085872,92429,Buy,0,1.0911032076604366
2024-06-05,101710.93215498391,0.5536742717085872,92429,Buy,0,1.1004163031160372
2024-06-06,100923.74500566545,0.5536742717085872,92429,Buy,0,1.0918996346535583
2024-06-07,102288.58415140006,0.5536742717085872,92429,Buy,0,1.1066659866181432
2024-06-10,100153.54813164141,0.5536742717085872,92429,Buy,0,1.0835667859369862
2024-06-11,108099.04125716921,0.5536742717085872,92429,Buy,0,1.1695299914842474
2024-06-12,111451.67315797538,0.5536742717085872,92429,Buy,0,1.205802502285037
2024-06-13,112114.27653086346,0.5536742717085872,92429,Buy,0,1.212971284516675
2024-06-14,111123.20607801252,0.5536742717085872,92429,Buy,0,1.2022487791033205
2024-06-17,113490.42805713385,0.5536742717085872,92429,Buy,0,1.227860026429607
2024-06-18,112142.57050489736,0.5536742717085872,92429,Buy,0,1.2132774002815745
2024-06-20,109531.8415040813,0.5536742717085872,92429,Buy,0,1.1850316224324573
2024-06-21,108291.59481657337,0.5536742717085872,92429,Buy,0,1.1716132506280676
2024-06-24,108659.71166008728,0.5536742717085872,92429,Buy,0,1.1755959491698014
2024-06-25,109186.39283062035,0.5536742717085872,92429,Buy,0,1.1812941734341889
2024-06-26,111553.60612794534,0.5536742717085872,92429,Buy,0,1.2069053268311205
2024-06-27,112034.9856855576,0.5536742717085872,92429,Buy,0,1.212113427725994
2024-06-28,110064.16584218784,0.5536742717085872,92429,Buy,0,1.190790900776987
2024-07-01,113535.72967005466,0.5536742717085872,92429,Buy,0,1.228350149799121
2024-07-02,115529.19163808855,0.5536742717085872,92429,Buy,0,1.2499176445035307
2024-07-03,116254.07821739554,0.5536742717085872,92429,Buy,0,1.257760275921235
2024-07-05,118966.7575517741,0.5536742717085872,92429,Buy,0,1.287109066175144
2024-07-08,119804.91552697563,0.5536742717085872,92429,Buy,0,1.2961771938753412
2024-07-09,120291.94693395762,0.5536742717085872,92429,Buy,0,1.301446442779711
2024-07-10,122727.13001425641,0.5536742717085872,92429,Buy,0,1.3277929690896224
2024-07-11,119663.34147525085,0.5536742717085872,92429,Buy,0,1.294645487898594
2024-07-12,121345.30059322747,0.5536742717085872,92429,Buy,0,1.3128427973791317
2024-07-15,123531.30743886923,0.5536742717085872,92429,Buy,0,1.3364934572980074
2024-07-16,123769.16261119419,0.5536742717085872,92429,Buy,0,1.3390668398113414
2024-07-17,120405.20964805594,0.5536742717085872,92429,Buy,0,1.3026718451328505
2024-07-18,117743.50113956051,0.5536742717085872,92429,Buy,0,1.2738745141166603
2024-07-19,117817.11409010776,0.5536742717085872,92429,Buy,0,1.274670941109782
2024-07-22,117618.90868133382,0.5536742717085872,92429,Buy,0,1.272526533956465
2024-07-23,118213.55963484065,0.5536742717085872,92429,Buy,0,1.278960131133832
2024-07-24,114549.4422475697,0.5536742717085872,92429,Buy,0,1.239317622967878
2024-07-25,113954.8173394517,0.5536742717085872,92429,Buy,0,1.2328843075785738
2024-07-26,114220.99253119937,0.5536742717085872,92429,Buy,0,1.2357640876448697
2024-07-29,114379.55685821851,0.5536742717085872,92429,Buy,0,1.2374796133675232
2024-07-30,114696.7028758493,0.5536742717085872,92429,Buy,0,1.240910852671538
2024-07-31,116554.22527793565,0.5536742717085872,92429,Buy,0,1.2610076015499891
2024-08-01,114447.50059580347,0.5536742717085872,92429,Buy,0,1.2382147044924403
2024-08-02,115296.98831513336,0.5536742717085872,92429,Buy,0,1.2474054099996934
2024-08-05,109299.64686292237,0.5536742717085872,92429,Buy,0,1.1825194818579738
2024-08-06,108144.34287009004,0.5536742717085872,92429,Buy,0,1.1700201148537617
2024-08-07,109611.13234938713,0.5536742717085872,92429,Buy,0,1.185889479223138
2024-08-08,111587.58667853409,0.5536742717085872,92429,Buy,0,1.2072729663229331
2024-08-09,113246.92103543911,0.5536742717085872,92429,Buy,0,1.225225495906776
2024-08-12,114120.0579678001,0.5536742717085872,92429,Buy,0,1.2346720649745035
2024-08-13,116240.56066060792,0.5536742717085872,92429,Buy,0,1.2576140279169548
2024-08-14,116495.69260750405,0.5536742717085872,92429,Buy,0,1.2603743298448793
2024-08-15,118196.6214503239,0.5536742717085872,92429,Buy,0,1.2787768749640502
2024-08-16,118950.70491047652,0.5536742717085872,92429,Buy,0,1.2869353907994765
2024-08-19,118859.98013948715,0.5536742717085872,92429,Buy,0,1.2859538290494914
2024-08-20,119211.51475213123,0.5536742717085872,92429,Buy,0,1.28975712252496
2024-08-21,119149.14472774962,0.5536742717085872,92429,Buy,0,1.2890823340453528
2024-08-22,118088.88904044758,0.5536742717085872,92429,Buy,0,1.2776113056094502
2024-08-23,119398.61614347974,0.5536742717085872,92429,Buy,0,1.2917813940344267
2024-08-26,119591.3780659943,0.5536742717085872,92429,Buy,0,1.2938669074827445
2024-08-27,120073.32194036388,0.5536742717085872,92429,Buy,0,1.299081113785632
2024-08-28,119200.16764441037,0.5536742717085872,92429,Buy,0,1.2896343568591964
2024-08-29,121071.19892148812,0.5536742717085872,92429,Buy,0,1.309877259812574
2024-08-30,120623.28768848484,0.5536742717085872,92429,Buy,0,1.3050312565776232
2024-09-03,117091.02074111968,0.5536742717085872,92429,Buy,0,1.2668152535118629
2024-09-04,116002.41898900614,0.5536742717085872,92429,Buy,0,1.2550375457349363
2024-09-05,116869.8953902011,0.5536742717085872,92429,Buy,0,1.2644228728638132
2024-09-06,115985.41135011925,0.5536742717085872,92429,Buy,0,1.254853538130322
2024-09-09,116036.44294857622,0.5536742717085872,92429,Buy,0,1.2554056548735193
2024-09-10,115582.85382081442,0.5536742717085872,92429,Buy,0,1.25049822184101
2024-09-11,117028.6507167381,0.5536742717085872,92429,Buy,0,1.266140465032256
2024-09-12,117091.02074111968,0.5536742717085872,92429,Buy,0,1.2668152535118629
2024-09-13,116937.9259457487,0.5536742717085872,92429,Buy,0,1.2651589032822708
2024-09-16,113434.01374499137,0.5536742717085872,92429,Buy,0,1.227249673486889
2024-09-17,113700.48411781208,0.5536742717085872,92429,Buy,0,1.2301326471512228
2024-09-18,115911.70289981303,0.5536742717085872,92429,Buy,0,1.2540560779143053
2024-09-19,120549.57923817865,0.5536742717085872,92429,Buy,0,1.3042337963616066
2024-09-20,120169.69856072305,0.5536742717085872,92429,Buy,0,1.300123823545114
2024-09-23,119188.82921848577,0.5536742717085872,92429,Buy,0,1.2895116851227868
2024-09-24,119699.1104758706,0.5536742717085872,92429,Buy,0,1.2950324768373442
2024-09-25,119132.13708886271,0.5536742717085872,92429,Buy,0,1.2888983264407383
2024-09-26,119784.15735210139,0.5536742717085872,92429,Buy,0,1.2959526087897704
2024-09-27,119937.23478387983,0.5536742717085872,92429,Buy,0,1.2976087711606543
2024-09-30,122891.18991831252,0.5536742717085872,92429,Buy,0,1.3295679520933994
2024-10-01,119041.41231787339,0.5536742717085872,92429,Buy,0,1.2879167646907537
2024-10-02,119364.59218390967,0.5536742717085872,92429,Buy,0,1.291413284895844
2024-10-03,118735.24877252025,0.5536742717085872,92429,Buy,0,1.2846043460196317
